,d,d_d,theta,d_theta,Goal
102,-0.654396653175354,-0.1271924376487732,0.0022898416500538588,-0.29477027058601374,-2.0
103,-0.6569404602050781,-0.32229360938072205,-0.0036055634263902894,-0.0025466640945523977,-2.0
104,-0.663386344909668,-0.5173093676567078,-0.003656496992334723,0.28780800104141235,-2.0
105,-0.6737325191497803,-0.7123249769210817,0.0020996630191802974,0.5781473517417908,-2.0
106,-0.6879790425300598,-0.5171800255775452,0.013662610203027723,0.28494653105735773,-2.0
107,-0.6983226537704468,-0.3222009241580963,0.01936154067516327,-0.004592066630721092,-2.0
108,-0.7047666311264038,-0.12730635702610016,0.019269699230790135,-0.29230719804763794,-2.0
109,-0.7073127627372742,0.06759084016084671,0.0134235555306077,-0.5800537467002869,-2.0
110,-0.7059609889984131,-0.12766538560390472,0.0018224806990474465,-0.2843376994132996,-2.0
111,-0.7085142731666565,-0.32275986671447754,-0.003864273196086288,0.007738224230706691,-2.0
112,-0.7149694561958313,-0.51777184009552,-0.003709508804604411,0.29801061749458313,-2.0
113,-0.7253249287605285,-0.3225444555282593,0.0022507035173475742,0.002985979663208127,-2.0
114,-0.7317758202552795,-0.12740109860897064,0.0023104231804609294,-0.29016807675361633,-2.0
115,-0.7343237996101379,0.0677412822842598,-0.0034929385874420404,-0.5833031535148621,-2.0
116,-0.7329689860343933,-0.12727852165699005,-0.015159001573920248,-0.29290908575057983,-2.0
117,-0.7355145812034608,-0.3221259117126465,-0.021017182618379593,-0.00624769926071167,-2.0
118,-0.7419570684432982,-0.5168841481208801,-0.02114213816821575,0.27852070331573486,-2.0
119,-0.7522947788238524,-0.7116423845291138,-0.015571722760796545,0.5632514953613281,-2.0
120,-0.7665275931358337,-0.5162547826766968,-0.004306692630052567,0.2645459771156311,-2.0
121,-0.7768527269363403,-0.3210188448429108,0.000984226819127798,-0.030665656551718712,-2.0
122,-0.7832731008529662,-0.1258573979139328,0.00037091365084052086,-0.32421839237213135,-2.0
123,-0.7857902646064758,-0.3209311366081238,-0.006113454699516296,-0.03260146453976631,-2.0
124,-0.7922088503837585,-0.5159103274345398,-0.006765483878552914,0.2569547295570373,-2.0
125,-0.8025270700454712,-0.710880696773529,-0.0016263884026557207,0.5463039875030518,-2.0
126,-0.8167446851730346,-0.515683650970459,0.009299691766500471,0.2519335150718689,-2.0
127,-0.8270583748817443,-0.3206414580345154,0.014338362030684948,-0.03899223729968071,-2.0
128,-0.8334711790084839,-0.12567301094532013,0.013558517210185528,-0.3283141553401947,-2.0
129,-0.8359846472740173,0.06930787116289139,0.006992233917117119,-0.6178863048553467,-2.0
130,-0.8345984816551208,-0.1258592903614044,-0.005365492776036263,-0.3241824507713318,-2.0
131,-0.8371156454086303,-0.32085034251213074,-0.011849141679704188,-0.034386515617370605,-2.0
132,-0.8435326814651489,-0.515745222568512,-0.012536872178316116,0.25333574414253235,-2.0
133,-0.853847563266754,-0.7106309533119202,-0.007470156997442245,0.540838897228241,-2.0
134,-0.8680601716041566,-0.5153532028198241,0.003346621058881283,0.2446434199810028,-2.0
135,-0.8783672451972961,-0.3202255368232727,0.008239489048719406,-0.048165183514356606,-2.0
136,-0.8847717642784119,-0.1251683086156845,0.007276185788214207,-0.339426726102829,-2.0
137,-0.8872751593589783,-0.3203403353691101,0.00048765144310891623,-0.04563239216804504,-2.0
138,-0.8936819434165953,-0.5154154300689697,-0.0004249962512403727,0.24602100253105164,-2.0
139,-0.9039902687072754,-0.7104775905609131,0.004495423287153244,0.5373856425285339,-2.0
140,-0.9181997776031494,-0.5153661966323853,0.015243136323988436,0.24493923783302307,-2.0
141,-0.9285071492195128,-0.3204103112220764,0.02014192007482052,-0.044094879180192954,-2.0
142,-0.9349153637886048,-0.12552727758884427,0.019260024651885033,-0.3315596878528595,-2.0
143,-0.937425911426544,0.06937043368816376,0.0126288291066885,-0.6193099021911621,-2.0
144,-0.9360384941101073,-0.12587445974349976,0.00024263188242912287,-0.323842316865921,-2.0
145,-0.9385559558868408,-0.3209463655948639,-0.006234214641153812,-0.03226599097251892,-2.0
146,-0.944974899291992,-0.515923798084259,-0.0068795345723629,0.25725170969963074,-2.0
147,-0.955293357372284,-0.7108924388885498,-0.001734500052407384,0.5465646386146545,-2.0
148,-0.9695112109184264,-0.5156939625740051,0.009196792729198931,0.2521602511405945,-2.0
149,-0.9798250794410704,-0.32065027952194214,0.014239996671676636,-0.03879814967513085,-2.0
150,-0.9862381219863892,-0.12568038702011108,0.013464034534990788,-0.3281514644622803,-2.0
151,-0.988751709461212,0.06930187344551086,0.006901005282998085,-0.6177536845207214,-2.0
