# Position , Speed, Angle, Angular speed, attack
-3.514431118965148926e-01,-4.134733080863952637e-01,1.078121662139892578e-01,2.027745395898818970e-01,0.000000000000000000e+00
-3.597125709056854248e-01,-6.099177002906799316e-01,1.118676513433456421e-01,5.263874530792236328e-01,0.000000000000000000e+00
-3.719109296798706055e-01,-8.063816428184509277e-01,1.223954036831855774e-01,8.510886430740356445e-01,0.000000000000000000e+00
-3.880385756492614746e-01,-6.130599379539489746e-01,1.394171714782714844e-01,5.979462265968322754e-01,0.000000000000000000e+00
-4.002997577190399170e-01,-4.200711250305175781e-01,1.513760983943939209e-01,3.508884608745574951e-01,0.000000000000000000e+00
-4.087011814117431641e-01,-2.273232638835906982e-01,1.583938598632812500e-01,1.081576868891716003e-01,0.000000000000000000e+00
-4.132476449012756348e-01,-3.471663221716880798e-02,1.605570167303085327e-01,-1.320186108350753784e-01,0.000000000000000000e+00
-4.139419794082641602e-01,1.578520983457565308e-01,1.579166501760482788e-01,-3.714135587215423584e-01,0.000000000000000000e+00
-4.107849299907684326e-01,-3.908555582165718079e-02,1.704415678977966309e-01,-3.436378017067909241e-02,1.000000000000000000e+00
-4.115666449069976807e-01,1.536606103181838989e-01,1.498011052608489990e-01,-2.773878872394561768e-01,0.000000000000000000e+00
-4.084934294223785400e-01,-4.321029409766197205e-02,1.442533433437347412e-01,5.756223201751708984e-02,0.000000000000000000e+00
-4.093576371669769287e-01,-2.400380074977874756e-01,1.454045921564102173e-01,3.910678029060363770e-01,0.000000000000000000e+00
-4.141584038734436035e-01,-4.718080908060073853e-02,1.532259434461593628e-01,1.461884975433349609e-01,0.000000000000000000e+00
-4.151020050048828125e-01,1.455195397138595581e-01,1.561497151851654053e-01,-9.585482627153396606e-02,0.000000000000000000e+00
-4.121916294097900391e-01,3.381659686565399170e-01,1.542326211929321289e-01,-3.368412554264068604e-01,0.000000000000000000e+00
-4.054283201694488525e-01,5.308617949485778809e-01,1.474957913160324097e-01,-5.785418152809143066e-01,0.000000000000000000e+00
-3.948110640048980713e-01,7.237076759338378906e-01,1.359249502420425415e-01,-8.227096796035766602e-01,0.000000000000000000e+00
-3.803369104862213135e-01,5.270490646362304688e-01,1.194707676768302917e-01,-4.915471076965332031e-01,0.000000000000000000e+00
-3.697959482669830322e-01,3.305011689662933350e-01,1.096398234367370605e-01,-1.647498160600662231e-01,0.000000000000000000e+00
-3.631859123706817627e-01,1.340352445840835571e-01,1.063448265194892883e-01,1.593731492757797241e-01,0.000000000000000000e+00
-3.605052232742309570e-01,3.275500833988189697e-01,1.095322892069816589e-01,-9.926121681928634644e-02,0.000000000000000000e+00
-3.539541959762573242e-01,5.210093855857849121e-01,1.075470671057701111e-01,-3.567844927310943604e-01,0.000000000000000000e+00
-3.435340225696563721e-01,7.145141959190368652e-01,1.004113778471946716e-01,-6.150163412094116211e-01,0.000000000000000000e+00
