d d_d theta d_theta
-2.708602547645568848e-01 -5.101051926612854004e-01 3.251780569553375244e-02 1.289287954568862915e-01
-2.810623645782470703e-01 -3.154069781303405762e-01 3.509638085961341858e-02 -1.545396447181701660e-01
-2.873705029487609863e-01 -1.207476109266281128e-01 3.200558945536613464e-02 -4.371694326400756836e-01
-2.897854447364807129e-01 -3.162579536437988281e-01 2.326220087707042694e-02 -1.357135474681854248e-01
-2.961106300354003906e-01 -5.116539597511291504e-01 2.054793015122413635e-02 1.630622744560241699e-01
-3.063437044620513916e-01 -7.070123553276062012e-01 2.380917593836784363e-02 4.609982967376708984e-01
-3.204839527606964111e-01 -5.121796727180480957e-01 3.302914276719093323e-02 1.747065186500549316e-01
-3.307275474071502686e-01 -3.174887597560882568e-01 3.652327135205268860e-02 -1.085963174700737000e-01
-3.370773196220397949e-01 -1.228514909744262695e-01 3.435134515166282654e-02 -3.907603621482849121e-01
-3.395343422889709473e-01 -3.183941543102264404e-01 2.653613872826099396e-02 -8.858692646026611328e-02
-3.459022343158721924e-01 -5.138352513313293457e-01 2.476439997553825378e-02 2.111985534429550171e-01
-3.561789393424987793e-01 -7.092513442039489746e-01 2.898837067186832428e-02 5.104371309280395508e-01
-3.703639507293701172e-01 -5.144938826560974121e-01 3.919711336493492126e-02 2.258148044347763062e-01
-3.806538283824920654e-01 -3.198960721492767334e-01 4.371340945363044739e-02 -5.547780543565750122e-02
-3.870517611503601074e-01 -1.253693401813507080e-01 4.260385408997535706e-02 -3.352873623371124268e-01
-3.895591497421264648e-01 6.917866319417953491e-02 3.589810803532600403e-02 -6.154674887657165527e-01
-3.881755769252777100e-01 -1.263774186372756958e-01 2.358875796198844910e-02 -3.128336071968078613e-01
-3.907031118869781494e-01 -3.217763602733612061e-01 1.733208633959293365e-02 -1.395925227552652359e-02
-3.971386551856994629e-01 -5.170904994010925293e-01 1.705290004611015320e-02 2.829793691635131836e-01
-4.074804484844207764e-01 -3.221608698368072510e-01 2.271248772740364075e-02 -5.476827733218669891e-03
-4.139236807823181152e-01 -1.273159980773925781e-01 2.260295115411281586e-02 -2.921154797077178955e-01
-4.164699912071228027e-01 6.753206253051757812e-02 1.676064170897006989e-02 -5.787917375564575195e-01
-4.151193499565124512e-01 -1.277698576450347900e-01 5.184806417673826218e-03 -2.820372283458709717e-01
-4.176747500896453857e-01 -3.229123055934906006e-01 -4.559385124593973160e-04 1.109941117465496063e-02
-4.241330027580261230e-01 -5.179737806320190430e-01 -2.339503262192010880e-04 3.024539053440093994e-01
-4.344924688339233398e-01 -3.227953314781188965e-01 5.815127864480018616e-03 8.518715389072895050e-03
-4.409483671188354492e-01 -1.277031153440475464e-01 5.985502153635025024e-03 -2.835103869438171387e-01
-4.435024261474609375e-01 6.738680601119995117e-02 3.152943681925535202e-04 -5.754858851432800293e-01
-4.421547055244445801e-01 -1.276869028806686401e-01 -1.119442284107208252e-02 -2.838853895664215088e-01
-4.447084367275238037e-01 -3.225926160812377930e-01 -1.687213219702243805e-02 4.048487637192010880e-03
-4.511602818965911865e-01 -5.174129009246826172e-01 -1.679116114974021912e-02 2.901557683944702148e-01
-4.615085422992706299e-01 -7.122361063957214355e-01 -1.098804641515016556e-02 5.762916803359985352e-01
-4.757532775402069092e-01 -5.169107913970947266e-01 5.377882625907659531e-04 2.790040969848632812e-01
-4.860914945602416992e-01 -3.217431902885437012e-01 6.117870099842548370e-03 -1.468870043754577637e-02
-4.925263524055480957e-01 -1.266553550958633423e-01 5.824095569550991058e-03 -3.066220581531524658e-01
-4.950594604015350342e-01 6.843690574169158936e-02 -3.083453048020601273e-04 -5.986486077308654785e-01
-4.936907291412353516e-01 -1.266281008720397949e-01 -1.228131726384162903e-02 -3.072452247142791748e-01
-4.962232708930969238e-01 -3.215180635452270508e-01 -1.842622272670269012e-02 -1.965939626097679138e-02
-5.026536583900451660e-01 -5.163151621818542480e-01 -1.881941035389900208e-02 2.659465670585632324e-01
-5.129799246788024902e-01 -7.111079096794128418e-01 -1.350047811865806580e-02 5.514279007911682129e-01
