d d_d theta d_theta
-4.800003021955490112e-02 -1.513583660125732422e-01 4.241051524877548218e-02 9.231983125209808350e-02
-5.102719739079475403e-02 4.349045827984809875e-02 4.425691068172454834e-02 -1.944011598825454712e-01
-5.015738680958747864e-02 2.383123934268951416e-01 4.036888852715492249e-02 -4.805285036563873291e-01
-4.539113864302635193e-02 4.295912757515907288e-02 3.075831942260265350e-02 -1.826384067535400391e-01
-4.453195631504058838e-02 -1.522631347179412842e-01 2.710555121302604675e-02 1.122632995247840881e-01
-4.757722094655036926e-02 -3.474337458610534668e-01 2.935081720352172852e-02 4.060192406177520752e-01
-5.452589318156242371e-02 -1.523924022912979126e-01 3.747120127081871033e-02 1.151237189769744873e-01
-5.757374316453933716e-02 4.252952709794044495e-02 3.977367654442787170e-02 -1.731823384761810303e-01
-5.672315135598182678e-02 2.374177575111389160e-01 3.631002828478813171e-02 -4.607509672641754150e-01
-5.197479575872421265e-02 4.211984202265739441e-02 2.709501050412654877e-02 -1.641196459531784058e-01
-5.113239958882331848e-02 -1.530505716800689697e-01 2.381261810660362244e-02 1.296329051256179810e-01
-5.419341102242469788e-02 -3.481741547584533691e-01 2.640527486801147461e-02 4.223518967628479004e-01
-6.115689501166343689e-02 -1.530906558036804199e-01 3.485231101512908936e-02 1.305235624313354492e-01
-6.421870738267898560e-02 4.186975210905075073e-02 3.746278584003448486e-02 -1.586196571588516235e-01
-6.338131427764892578e-02 2.367919683456420898e-01 3.429039195179939270e-02 -4.469286501407623291e-01
-5.864547193050384521e-02 4.152178391814231873e-02 2.535181865096092224e-02 -1.509258002042770386e-01
-5.781503766775131226e-02 -1.536238044500350952e-01 2.233330160379409790e-02 1.422783136367797852e-01
-6.088751181960105896e-02 -3.487261831760406494e-01 2.517886832356452942e-02 4.345302879810333252e-01
-6.786203384399414062e-02 -1.536252200603485107e-01 3.386947512626647949e-02 1.423144489526748657e-01
-7.093454152345657349e-02 4.134959354996681213e-02 3.671576455235481262e-02 -1.471423804759979248e-01
-7.010754942893981934e-02 2.362827360630035400e-01 3.377291560173034668e-02 -4.356903135776519775e-01
-6.538189202547073364e-02 4.101962596178054810e-02 2.505910955369472504e-02 -1.398486196994781494e-01
-6.456150114536285400e-02 -1.541217863559722900e-01 2.226213738322257996e-02 1.532633006572723389e-01
-6.764394044876098633e-02 -3.492231369018554688e-01 2.532740309834480286e-02 4.454928040504455566e-01
-7.462839782238006592e-02 -1.541242748498916626e-01 3.423725813627243042e-02 1.533238291740417480e-01
-7.771088927984237671e-02 4.084519669413566589e-02 3.730373457074165344e-02 -1.360157430171966553e-01
-7.689398527145385742e-02 2.357696592807769775e-01 3.458341956138610840e-02 -4.243755042552947998e-01
-7.217858731746673584e-02 4.049521312117576599e-02 2.609590999782085419e-02 -1.282810419797897339e-01
-7.136868685483932495e-02 -1.546609997749328613e-01 2.353028953075408936e-02 1.651573330163955688e-01
-7.446190714836120605e-02 -3.497805595397949219e-01 2.683343738317489624e-02 4.577872455120086670e-01
-8.145751804113388062e-02 -1.547030508518218994e-01 3.598918020725250244e-02 1.660941690206527710e-01
-8.455158025026321411e-02 4.024081677198410034e-02 3.931106626987457275e-02 -1.226861402392387390e-01
-8.374676108360290527e-02 2.351356446743011475e-01 3.685734048485755920e-02 -4.104028046131134033e-01
-7.904405146837234497e-02 3.982963785529136658e-02 2.864928543567657471e-02 -1.136004999279975891e-01
-7.824745774269104004e-02 -1.553629040718078613e-01 2.637727558612823486e-02 1.806402951478958130e-01
-8.135471493005752563e-02 -3.505230844020843506e-01 2.999008260667324066e-02 4.741671383380889893e-01
-8.836517482995986938e-02 -1.554905474185943604e-01 3.947342187166213989e-02 1.834738850593566895e-01
-9.147498756647109985e-02 3.940216824412345886e-02 4.314289987087249756e-02 -1.041911318898200989e-01
-9.068693965673446655e-02 2.342401444911956787e-01 4.105908051133155823e-02 -3.906764984130859375e-01
-8.600214123725891113e-02 3.887615725398063660e-02 3.324554860591888428e-02 -9.257087111473083496e-02
-8.522461354732513428e-02 -1.563813239336013794e-01 3.139413148164749146e-02 2.031088471412658691e-01
-8.835224062204360962e-02 -3.516124784946441650e-01 3.545630723237991333e-02 4.982094466686248779e-01
